sim_ownership,player_name,team,opp,position,salary,ownership,pos,fp,fp_std,created_own,positive_ev
4.5,Alshon Jeffery,PHI,DAL,WR,3200,1.6,WR,5.31012934,7.1561153,5.0,-0.5
0.0,Travis Fulgham,PHI,DAL,WR,3500,0.3,WR,4.893977089,8.264250129,0.0,0.0
0.0,DeSean Jackson,PHI,DAL,WR,3000,0.5,WR,4.450008757,9.375605979,1.0,-1.0
0.0,Quez Watkins,PHI,DAL,WR,3000,0.0,WR,0.46,0.0,0.0,0.0
0.0,JJ Arcega-Whiteside,PHI,DAL,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,John Hightower,PHI,DAL,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
10.0,Dallas Goedert,PHI,DAL,TE,3600,9.6,TE,10.73278015,8.102972439,6.0,4.0
3.5000000000000004,Zach Ertz,PHI,DAL,TE,3100,2.9,TE,8.237597616,7.552618089,4.0,-0.49999999999999956
0.0,Joshua Perkins,PHI,DAL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Richard Rodgers,PHI,DAL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
17.5,Miles Sanders,PHI,DAL,RB,7000,16.7,RB,17.45384934,10.31231499,17.0,0.5
0.0,Boston Scott,PHI,DAL,RB,4900,0.4,RB,5.1,4.917547857,0.0,0.0
0.0,Jason Huntley,PHI,DAL,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Corey Clement,PHI,DAL,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
13.0,Jalen Hurts,PHI,DAL,QB,7000,18.1,QB,26.08445669,11.19307736,14.000000000000002,-1.0000000000000018
0.5,Eagles,PHI,DAL,D,2900,4.39,D,6.4,3.2,1.0,-0.5
20.5,Jamison Crowder,NYJ,CLE,WR,4500,7.7,WR,13.95759523,10.19068712,17.0,3.5
1.0,Denzel Mims,NYJ,CLE,WR,3600,6.1,WR,10.60924282,5.268435348,2.0,-1.0
11.0,Breshad Perriman,NYJ,CLE,WR,3800,4.1,WR,9.277072468,9.227044335,6.0,5.0
0.0,Braxton Berrios,NYJ,CLE,WR,3000,0.2,WR,4.270000001,4.310757207,0.0,0.0
0.0,Jeff Smith,NYJ,CLE,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Vyncint Smith,NYJ,CLE,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Lawrence Cager,NYJ,CLE,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Chris Herndon,NYJ,CLE,TE,2500,0.3,TE,3.75,3.566659912,1.0,-1.0
0.0,Ryan Griffin,NYJ,CLE,TE,2500,0.2,TE,1.47,4.506844498,0.0,0.0
0.0,Daniel Brown,NYJ,CLE,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Ross Travis,NYJ,CLE,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Trevon Wesco,NYJ,CLE,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Frank Gore,NYJ,CLE,RB,4200,2.1,RB,9.122028684,5.668231552,0.0,0.0
0.0,Ty Johnson,NYJ,CLE,RB,4500,0.6,RB,6.720000016,3.684530051,0.0,0.0
0.0,La'Mical Perine,NYJ,CLE,RB,4000,2.7,RB,2.49,5.460601255,0.0,0.0
0.0,Josh Adams,NYJ,CLE,RB,4000,0.0,RB,2.37,5.41734463,0.0,0.0
5.0,Sam Darnold,NYJ,CLE,QB,5000,2.0,QB,18.23637137,8.72710567,2.0,3.0
5.5,Jets,NYJ,CLE,D,2000,3.67,D,3.4,1.7,8.0,-2.5
6.0,Sterling Shepard,NYG,BAL,WR,4500,3.7,WR,11.93776946,8.268272998,3.0,3.0
4.5,Darius Slayton,NYG,BAL,WR,3800,4.8,WR,10.74571442,9.769016044,5.0,-0.5
0.0,Austin Mack,NYG,BAL,WR,3000,0.4,WR,5.380099188,6.570571846,0.0,0.0
0.0,C.J. Board,NYG,BAL,WR,3000,0.0,WR,1.56,1.585092427,0.0,0.0
0.0,Cody Core,NYG,BAL,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Dante Pettis,NYG,BAL,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,David Sills,NYG,BAL,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Golden Tate,NYG,BAL,WR,3400,0.0,WR,0.0,0.0,0.0,0.0
2.5,Evan Engram,NYG,BAL,TE,3900,3.4,TE,10.43500799,8.331504058,3.0,-0.5
0.0,Kaden Smith,NYG,BAL,TE,2500,0.2,TE,2.66,4.368179489,0.0,0.0
0.0,Levine Toilolo,NYG,BAL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
3.5000000000000004,Wayne Gallman Jr.,NYG,BAL,RB,5700,2.0,RB,11.03884567,8.431354941,2.0,1.5000000000000004
0.0,Alfred Morris,NYG,BAL,RB,4000,0.0,RB,4.13000003,6.051775141,0.0,0.0
0.0,Dion Lewis,NYG,BAL,RB,4000,0.5,RB,1.34,2.301297133,0.0,0.0
0.0,Elijhaa Penny,NYG,BAL,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Saquon Barkley,NYG,BAL,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Devonta Freeman,NYG,BAL,RB,4500,0.0,RB,0.0,0.0,0.0,0.0
2.0,Daniel Jones,NYG,BAL,QB,5000,2.0,QB,16.46925167,8.959843404,2.0,0.0
0.0,Colt McCoy,NYG,BAL,QB,5000,0.0,QB,0.0,0.0,0.0,0.0
0.0,Giants,NYG,BAL,D,2500,2.55,D,4.4,2.2,1.0,-1.0
0.0,Keenan Allen,LAC,DEN,WR,7500,0.0,WR,17.12289539,12.17064007,0.0,0.0
6.0,Tyron Johnson,LAC,DEN,WR,4000,6.2,WR,8.745440189,7.942124985,3.0,3.0
6.5,Jalen Guyton,LAC,DEN,WR,3200,7.0,WR,8.092110349,5.962041884,6.0,0.5
9.5,Mike Williams,LAC,DEN,WR,4500,16.2,WR,7.809674303,6.572718231,14.000000000000002,-4.500000000000002
0.0,K.J. Hill,LAC,DEN,WR,3000,0.3,WR,0.0,0.0,1.0,-1.0
0.0,Joe Reed,LAC,DEN,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Hunter Henry,LAC,DEN,TE,4700,0.0,TE,8.862568348,5.849334058,0.0,0.0
0.0,Stephen Anderson,LAC,DEN,TE,2500,0.2,TE,2.35,4.237363721,0.0,0.0
0.5,Donald Parham Jr.,LAC,DEN,TE,2500,6.6,TE,0.0,0.0,6.0,-5.5
0.0,Virgil Green,LAC,DEN,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
28.000000000000004,Austin Ekeler,LAC,DEN,RB,7600,34.2,RB,20.246069,12.37715618,33.0,-4.9999999999999964
